epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.0805,0.70588,1.06568,0.95962,0.94075,0.90856,0.95762,0.74901,0.70595,0.60921,0.98168,0.000553082,0.000553082,0.000553082
2,109.161,0.72642,0.604,0.97464,0.94897,0.91572,0.97225,0.79676,0.67432,0.77792,0.9918,0.00109777,0.00109777,0.00109777
3,160.978,0.71278,0.55263,0.97086,0.96201,0.9437,0.98223,0.80468,0.68598,0.49075,0.98708,0.00163146,0.00163146,0.00163146
4,212.32,0.69641,0.50825,0.96737,0.97334,0.95545,0.98762,0.81328,0.62274,0.42123,0.94807,0.00161749,0.00161749,0.00161749
5,263.672,0.69005,0.48871,0.95364,0.98075,0.94282,0.98786,0.82143,0.64319,0.40664,0.9598,0.00160099,0.00160099,0.00160099
6,314.923,0.66907,0.45941,0.94932,0.97972,0.94966,0.98531,0.82912,0.63512,0.40051,0.95279,0.00158448,0.00158448,0.00158448
7,365.95,0.64489,0.44663,0.94122,0.97917,0.96399,0.99183,0.85564,0.5809,0.36453,0.93926,0.00156798,0.00156798,0.00156798
8,417.567,0.6348,0.42271,0.93667,0.97188,0.97551,0.99118,0.83332,0.62331,0.37191,0.93388,0.00155148,0.00155148,0.00155148
9,468.504,0.63347,0.41989,0.93213,0.97215,0.98137,0.9927,0.86416,0.55884,0.32905,0.91272,0.00153497,0.00153497,0.00153497
10,519.344,0.61698,0.40786,0.92764,0.97286,0.96799,0.99211,0.86056,0.54876,0.32762,0.91156,0.00151847,0.00151847,0.00151847
11,570.29,0.60893,0.39388,0.9206,0.98152,0.9774,0.99167,0.86569,0.54469,0.32549,0.90674,0.00150197,0.00150197,0.00150197
12,621.7,0.60944,0.38518,0.92427,0.98457,0.96972,0.99305,0.86489,0.54375,0.31685,0.89735,0.00148546,0.00148546,0.00148546
13,672.76,0.60805,0.38751,0.9277,0.97587,0.97784,0.99218,0.85709,0.56104,0.31078,0.9055,0.00146896,0.00146896,0.00146896
14,723.646,0.60287,0.37384,0.91763,0.97298,0.97605,0.99135,0.85518,0.56433,0.32213,0.90554,0.00145246,0.00145246,0.00145246
15,775.321,0.59277,0.37303,0.92248,0.98447,0.96976,0.9929,0.87058,0.53129,0.3068,0.89449,0.00143595,0.00143595,0.00143595
16,826.325,0.58859,0.37258,0.9155,0.98622,0.97387,0.99251,0.87196,0.52398,0.3057,0.89004,0.00141945,0.00141945,0.00141945
17,877.477,0.59036,0.36653,0.91549,0.98129,0.97485,0.99318,0.8733,0.5242,0.29874,0.88898,0.00140295,0.00140295,0.00140295
18,928.978,0.58187,0.35961,0.91191,0.97484,0.97662,0.99282,0.87085,0.52054,0.31479,0.88665,0.00138644,0.00138644,0.00138644
19,980.361,0.57117,0.35558,0.91084,0.98605,0.97131,0.9912,0.86203,0.5303,0.30297,0.88893,0.00136994,0.00136994,0.00136994
20,1031.53,0.56975,0.35146,0.90839,0.97342,0.97368,0.99015,0.86943,0.52623,0.31353,0.89165,0.00135344,0.00135344,0.00135344
21,1082.53,0.5764,0.35838,0.90548,0.97772,0.98338,0.99353,0.87572,0.5199,0.30239,0.88145,0.00133693,0.00133693,0.00133693
22,1133.61,0.56537,0.3488,0.91081,0.97961,0.98474,0.99301,0.87702,0.51033,0.28798,0.88033,0.00132043,0.00132043,0.00132043
23,1184.7,0.57161,0.35097,0.90638,0.98207,0.98219,0.99219,0.86637,0.53132,0.30698,0.88169,0.00130393,0.00130393,0.00130393
24,1235.63,0.55479,0.33811,0.90112,0.97953,0.98719,0.99352,0.88168,0.51612,0.2805,0.8825,0.00128742,0.00128742,0.00128742
25,1288.17,0.55932,0.33633,0.90358,0.98764,0.97939,0.99333,0.88321,0.50071,0.27939,0.87288,0.00127092,0.00127092,0.00127092
26,1339.17,0.56173,0.33851,0.9036,0.9662,0.97961,0.99186,0.88195,0.50088,0.28962,0.88303,0.00125442,0.00125442,0.00125442
27,1390.21,0.55359,0.33527,0.90002,0.98632,0.97873,0.99282,0.87997,0.50445,0.28167,0.88151,0.00123791,0.00123791,0.00123791
28,1441.36,0.55882,0.33764,0.90401,0.98576,0.98102,0.99382,0.88474,0.50585,0.27303,0.87526,0.00122141,0.00122141,0.00122141
29,1492.39,0.55168,0.33214,0.89994,0.97594,0.9845,0.9936,0.88682,0.4879,0.27184,0.86751,0.00120491,0.00120491,0.00120491
30,1543.19,0.54628,0.32656,0.89769,0.98292,0.98593,0.99397,0.88608,0.49412,0.26957,0.87515,0.0011884,0.0011884,0.0011884
31,1594.94,0.54409,0.32045,0.89682,0.98682,0.98568,0.9941,0.88684,0.49319,0.26427,0.87345,0.0011719,0.0011719,0.0011719
32,1646.11,0.54689,0.32474,0.90095,0.98472,0.98048,0.99374,0.88483,0.50227,0.2664,0.87601,0.0011554,0.0011554,0.0011554
33,1697.26,0.54309,0.32031,0.89902,0.98275,0.98283,0.99379,0.88906,0.48992,0.2567,0.86898,0.00113889,0.00113889,0.00113889
34,1748.9,0.53493,0.31639,0.89153,0.98293,0.98291,0.99328,0.88973,0.50493,0.27283,0.87796,0.00112239,0.00112239,0.00112239
35,1799.77,0.5426,0.32476,0.90029,0.98471,0.98006,0.99313,0.88112,0.50002,0.27925,0.87678,0.00110589,0.00110589,0.00110589
36,1850.84,0.5386,0.31616,0.89419,0.98227,0.9839,0.99307,0.89093,0.4814,0.25712,0.86643,0.00108938,0.00108938,0.00108938
37,1901.88,0.53501,0.31273,0.88993,0.98733,0.98597,0.99358,0.89172,0.48199,0.25517,0.86401,0.00107288,0.00107288,0.00107288
38,1952.88,0.53,0.30426,0.89249,0.97892,0.98732,0.99339,0.88949,0.47661,0.25348,0.86206,0.00105638,0.00105638,0.00105638
39,2003.76,0.53331,0.30884,0.89148,0.98473,0.98582,0.99354,0.89239,0.47035,0.24974,0.86004,0.00103987,0.00103987,0.00103987
40,2054.58,0.53373,0.30698,0.89459,0.98945,0.9797,0.99336,0.89553,0.47121,0.24598,0.86166,0.00102337,0.00102337,0.00102337
41,2105.42,0.53084,0.30739,0.8922,0.98123,0.98558,0.99348,0.88761,0.48139,0.26013,0.86164,0.00100687,0.00100687,0.00100687
42,2156.22,0.52639,0.30805,0.88849,0.98691,0.9851,0.99368,0.89528,0.48248,0.25885,0.86291,0.000990365,0.000990365,0.000990365
43,2207.05,0.53426,0.30122,0.8936,0.9798,0.98848,0.99362,0.8931,0.47727,0.24925,0.86584,0.000973861,0.000973861,0.000973861
44,2258.17,0.51903,0.29523,0.88669,0.98324,0.97518,0.99223,0.8909,0.47783,0.2597,0.86584,0.000957358,0.000957358,0.000957358
45,2311.97,0.52634,0.29878,0.8931,0.9816,0.98677,0.99329,0.89537,0.47294,0.24825,0.8599,0.000940855,0.000940855,0.000940855
46,2368.39,0.52754,0.3014,0.89157,0.98248,0.98373,0.99329,0.89627,0.4748,0.25087,0.86218,0.000924352,0.000924352,0.000924352
